sample,contigs,n50,gene_count
233090_3A06,166,169519,9930
233091_3B19,95,288418,12082
233092_3G07,36,580618,12546
233093_s3b09,116,177557,10516
233094_s3c13,84,441607,10066
233095_s3e20,77,308577,10968
233096_s3a19,84,203385,11582
233097_s3g7,93,183182,11392
233098_s3b11,69,417601,11670
233099_s3f4,87,228284,11622
